Godolphin, Bernard 57 3
           19 Rogozynski, Noah 27.93 Warriors 0
           33 Rogozynski, Noah 1:06.70 Warriors 0
           19 Rogozynski, Noah 1:00.52 Warriors 0
           18 Rogozynski, Noah 29.58 Warriors 0
           12 Rogozynski, Noah 2:10.68 Warriors 5
McKenna, Liam 0 4
           37 McKenna, Liam 2:01.46 Brock Badgers 0
           20 McKenna, Liam 25.93 Brock Badgers 0
           17 McKenna, Liam 23.99 Brock Badgers 0
           40 McKenna, Liam 53.60 Brock Badgers 0
Bevilacqua, Robert 0 4
           38 Bevilacqua, Robert 2:01.57 QUE 0
           37 Bevilacqua, Robert 4:27.43 QUE 0
           35 Bevilacqua, Robert 2:35.40 QUE 0
           68 Bevilacqua, Robert 55.89 QUE 0
Tsang, Ethan 0 4
           39 Tsang, Ethan 2:01.77 Mustangs 0
           26 Tsang, Ethan 58.09 Mustangs 0
           50 Tsang, Ethan 25.20 Mustangs 0
           24 Tsang, Ethan 52.68 Mustangs 0
Johnson, Ian 0 4
           40 Johnson, Ian 2:01.94 Brock Badgers 0
           37 Johnson, Ian 1:08.52 Brock Badgers 0
           28 Johnson, Ian 2:30.77 Brock Badgers 0
           36 Johnson, Ian 31.26 Brock Badgers 0
Jansen, Olaf 0 4
           41 Jansen, Olaf 2:02.69 Gryphons 0
           35 Jansen, Olaf 4:24.85 Gryphons 0
           28 Jansen, Olaf 24.56 Gryphons 0
           45 Jansen, Olaf 53.98 Gryphons 0
Hirsescu, Cezar 0 6
           42 Hirsescu, Cezar 2:02.69 WLU 0
           44 Hirsescu, Cezar 1:01.19 WLU 0
           33 Hirsescu, Cezar 4:20.19 WLU 0
           34 Hirsescu, Cezar 2:24.06 WLU 0
           63 Hirsescu, Cezar 55.37 WLU 0
           23 Hirsescu, Cezar 17:41.94 WLU 0
Ho, Robert 0 4
           43 Ho, Robert 2:04.01 Brock Badgers 0
           60 Ho, Robert 28.73 Brock Badgers 0
           62 Ho, Robert 25.75 Brock Badgers 0
           71 Ho, Robert 56.86 Brock Badgers 0
Bossy, Ryan 0 4
           44 Bossy, Ryan 2:04.36 Brock Badgers 0
           30 Bossy, Ryan 4:17.39 Brock Badgers 0
           28 Bossy, Ryan 2:17.71 Brock Badgers 0
           18 Bossy, Ryan 17:01.43 Brock Badgers 0
Anslow, Owen 0 3
           45 Anslow, Owen 2:05.19 Gryphons 0
           31 Anslow, Owen 24.68 Gryphons 0
           69 Anslow, Owen 56.02 Gryphons 0
Hontoria, Rodrigo 0 5
           46 Hontoria, Rodrigo 2:05.42 MACU 0
           41 Hontoria, Rodrigo 1:00.66 MACU 0
           46 Hontoria, Rodrigo NT MACU 0
           31 Hontoria, Rodrigo 2:19.64 MACU 0
           27 Hontoria, Rodrigo 2:17.67 MACU 0
Stairs, Wilder 0 4
           47 Stairs, Wilder 2:05.62 Gryphons 0
           31 Stairs, Wilder 4:18.83 Gryphons 0
           19 Stairs, Wilder 2:11.13 Gryphons 0
           20 Stairs, Wilder 17:12.14 Gryphons 0
Rodgers, Quinton 3 4
           48 Rodgers, Quinton 2:05.90 QUE 0
           25 Rodgers, Quinton 4:55.00 QUE 0
           32 Rodgers, Quinton 4:20.00 QUE 0
           14 Rodgers, Quinton 16:45.00 QUE 3
Steenbakkers, Landon 0 4
           49 Steenbakkers, Landon 2:06.46 MACU 0
           40 Steenbakkers, Landon 4:37.41 MACU 0
           79 Steenbakkers, Landon 26.44 MACU 0
           77 Steenbakkers, Landon 57.46 MACU 0
Konecny, Marty 0 6
           50 Konecny, Marty 2:07.11 WLU 0
           46 Konecny, Marty 1:01.88 WLU 0
           41 Konecny, Marty 4:38.17 WLU 0
           54 Konecny, Marty 28.03 WLU 0
           33 Konecny, Marty 2:23.70 WLU 0
           41 Konecny, Marty 2:22.14 WLU 0
Garnett, Aaron 0 4
           51 Garnett, Aaron 2:07.76 Brock Badgers 0
           42 Garnett, Aaron 4:39.37 Brock Badgers 0
           76 Garnett, Aaron 26.29 Brock Badgers 0
           79 Garnett, Aaron 57.95 Brock Badgers 0
Broeders, Eric 0 6
           52 Broeders, Eric 2:08.42 WLU 0
           49 Broeders, Eric 1:03.71 WLU 0
           36 Broeders, Eric 4:26.82 WLU 0
           64 Broeders, Eric 29.15 WLU 0
           32 Broeders, Eric 2:20.64 WLU 0
           26 Broeders, Eric 18:13.88 WLU 0
Liao, Patrick 0 4
           53 Liao, Patrick 2:09.87 Carleton 0
           45 Liao, Patrick 4:50.67 Carleton 0
           86 Liao, Patrick 27.10 Carleton 0
           84 Liao, Patrick 59.42 Carleton 0
Zab, Andrew 0 6
           54 Zab, Andrew 2:11.01 WLU 0
           42 Zab, Andrew 1:09.46 WLU 0
           34 Zab, Andrew 2:35.33 WLU 0
           81 Zab, Andrew 26.71 WLU 0
           41 Zab, Andrew 32.22 WLU 0
           27 Zab, Andrew 19:29.05 WLU 0
Power, Ben 0 5
           55 Power, Ben 2:11.40 Carleton 0
           39 Power, Ben 4:30.00 Carleton 0
           55 Power, Ben 28.07 Carleton 0
           73 Power, Ben 26.09 Carleton 0
           76 Power, Ben 57.38 Carleton 0
Reid, Braydon 0 5
           56 Reid, Braydon 2:11.72 WLU 0
           56 Reid, Braydon 1:12.10 WLU 0
           66 Reid, Braydon 29.58 WLU 0
           69 Reid, Braydon 25.98 WLU 0
           81 Reid, Braydon 58.22 WLU 0
Florea, Christian 23 6
           58 Florea, Christian NT Warriors 0
           19 Florea, Christian 57.28 Warriors 0
           12 Florea, Christian 4:39.44 Warriors 5
           25 Florea, Christian 4:14.70 Warriors 0
           6 Florea, Christian 2:04.67 Warriors 13
           12 Florea, Christian 16:34.27 Warriors 5
Buck, Carter 73 4
