Event: 1 Women 50 SC Meter Freestyle 
Name : Epp, Erin, Seed Time: 31.87, Ranking: 8, Points: 11, Team Name: UVIC, Age: 19 
Name : Tarrant, Sophie, Seed Time: 31.90, Ranking: 9, Points: 9, Team Name: UVIC, Age: 22 
Name : Russell, Shannon, Seed Time: 31.96, Ranking: 10, Points: 7, Team Name: UT, Age: 20 
Name : Ling, Elizabeth, Seed Time: 32.00, Ranking: 11, Points: 6, Team Name: McGILL, Age: 20 
Name : Kelly, Kaelyn, Seed Time: 32.09, Ranking: 12, Points: 5, Team Name: Warriors, Age: 19 
Name : Ethier, Danika, Seed Time: 32.16, Ranking: 13, Points: 4, Team Name: Lav, Age: 18 

Event: 5 ...(Women 50 SC Meter Breaststroke) 
Name : Nordquist, Hannah, Seed Time: 32.22, Ranking: 14, Points: 3, Team Name: Gryphons, Age: 19 
Name : Stewardson, Hunter, Seed Time: 32.32, Ranking: 15, Points: 2, Team Name: Horns, Age: 19 
Name : Wallich, Mackenzie, Seed Time: 32.41, Ranking: 16, Points: 1, Team Name: U Of C Dinos, Age: 23 
Name : Ji, Christina, Seed Time: 32.51, Ranking: 17, Points: 0, Team Name: Warriors, Age: 22 
Name : Duncan, Isabella, Seed Time: 32.52, Ranking: 18, Points: 0, Team Name: U Of C Dinos, Age: 19 
Name : Morrison, Elizabeth, Seed Time: 32.57, Ranking: 19, Points: 0, Team Name: Acadia, Age: 21 
Name : Lau, Nicole, Seed Time: 32.57, Ranking: 20, Points: 0, Team Name: Warriors, Age: 18 
Name : Katterhagen, Ryenne, Seed Time: 32.67, Ranking: 21, Points: 0, Team Name: Horns, Age: 18 
Name : Mastromatteo, Emilia, Seed Time: 32.71, Ranking: 22, Points: 0, Team Name: McGILL, Age: 18 
Name : Harper, Elizabeth, Seed Time: 32.87, Ranking: 23, Points: 0, Team Name: Ualberta, Age: 20 
Name : Giroux, Calli, Seed Time: 32.88, Ranking: 24, Points: 0, Team Name: Ualberta, Age: 18 
Name : Synishin, Marion, Seed Time: 32.89, Ranking: 25, Points: 0, Team Name: McGILL, Age: 19 
Name : Collins, Ella, Seed Time: 32.97, Ranking: 26, Points: 0, Team Name: Acadia, Age: 18 
Name : Wood, Makena, Seed Time: 33.00, Ranking: 27, Points: 0, Team Name: Horns, Age: 18 
Name : Lachman, Taryn, Seed Time: 33.03, Ranking: 28, Points: 0, Team Name: Horns, Age: 19 
Name : Choi, Su Yeong, Seed Time: 33.03, Ranking: 29, Points: 0, Team Name: Warriors, Age: 20 
Name : Winokur, Sydney, Seed Time: 33.04, Ranking: 30, Points: 0, Team Name: Mustangs, Age: 21 
Name : Macor, Madison, Seed Time: 33.04, Ranking: 31, Points: 0, Team Name: U Of C Dinos, Age: 21 
Name : Corish, Abbey, Seed Time: 33.06, Ranking: 32, Points: 0, Team Name: Dal Tigers, Age: 22 
Name : Guay-Boisvert, Janelle, Seed Time: 33.11, Ranking: 33, Points: 0, Team Name: Lav, Age: 24 
Name : Whitehead, Kayla, Seed Time: 33.11, Ranking: 34, Points: 0, Team Name: Uottawa Gee-Gees, Age: 21 
Name : Thomas, Jordan, Seed Time: 33.12, Ranking: 35, Points: 0, Team Name: MTA, Age: 18 
Name : Barrault, Amelia, Seed Time: 33.14, Ranking: 36, Points: 0, Team Name: Ubc Thunderbirds, Age: 18 
Name : Tuck, Kate, Seed Time: 33.28, Ranking: 37, Points: 0, Team Name: Dal Tigers, Age: 18 
Name : Moore, Julianne, Seed Time: 33.36, Ranking: 38, Points: 0, Team Name: U Of C Dinos, Age: 19 
Name : Guan, Tina, Seed Time: 33.37, Ranking: 39, Points: 0, Team Name: UT, Age: 20 
